Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-08-09,37.401817321777344,37.45058568678089,36.94898340434453,36.983815419747046,104526000
2017-08-10,36.21050262451172,37.301571894907305,36.04963902653811,37.278256989530945,163217200
2017-08-11,36.714080810546875,36.96820053959595,36.38536332524164,36.50892453009627,105028400
2017-08-14,37.266605377197266,37.35053406139659,37.0101556317673,37.14304419731428,88490800
2017-08-15,37.674598693847656,37.814477489895324,37.334220197821885,37.45545133361468,117862000
2017-08-16,37.52303695678711,37.88672659427393,37.336528447027376,37.753841637817104,110686400
2017-08-17,36.80266571044922,37.46710142244014,36.798002017624476,37.422805233993365,111762400
2017-08-18,36.71873474121094,37.185004388718376,36.53688986327145,36.80266342005648,109712400
2017-08-21,36.65113067626953,36.809660663895095,36.16154607710975,36.71873821632033,105474000
2017-08-22,37.250282287597656,37.30157223400783,36.83996627367142,36.888922595109676,86418400
2017-08-23,37.296905517578125,37.41114285393085,37.04045936367374,37.084755546287134,77596400
2017-08-24,37.13138961791992,37.47409814181354,36.96353223652894,37.40182334806708,79275600
2017-08-25,37.26892852783203,37.43212217310998,37.131379852337375,37.219968655571314,101920400
2017-08-28,37.64427947998047,37.767840649368395,37.28524986687383,37.334209744062925,103864000
2017-08-29,37.98000717163086,38.02896350820053,37.30158376317266,37.32489867596714,118067600
2017-08-30,38.08256912231445,38.2084603428615,37.91004809818634,38.18747906566275,109078400
2017-08-31,38.23411178588867,38.355342892488736,38.1128806792886,38.15018310552788,107140400
2017-09-01,38.24578094482422,38.45327086292426,38.14786471399281,38.420632119313794,66364400
2017-09-05,37.78649139404297,38.292393517744884,37.432125477758476,38.175826109776104,117874000
2017-09-06,37.74686050415039,37.99864654293107,37.42280323853875,37.93336907628665,86606800
2017-09-07,37.595314025878906,37.82378867572925,37.38549414300479,37.788816323680564,87714000
2017-09-08,36.98218536376953,37.56968267165352,36.95887045395499,37.5020751249606,114446000
2017-09-11,37.651275634765625,37.779500504745165,37.27592841029202,37.41814080111383,126323200
2017-09-12,37.50206756591797,38.22478693622561,37.014816642265714,37.91005350394695,286856000
2017-09-13,37.219970703125,37.29224548183914,36.8143184135975,37.27126064551317,179629600
2017-09-14,36.900569915771484,37.161679711360556,36.856273741729595,37.066097162345805,95042800
2017-09-15,37.27359390258789,37.52770998723289,36.8352993291783,36.944872972530696,196458400
2017-09-18,36.991512298583984,37.418149571043095,36.83531235031033,37.327227106903024,113077600
2017-09-19,37.00548553466797,37.24794771699612,36.93787800840331,37.187330392736726,83242400
2017-09-20,36.38536071777344,36.89592309278053,35.86313733048767,36.81199439763381,211805600
2017-09-21,35.76054382324219,36.322399497770945,35.61133770608045,36.322399497770945,150046800
2017-09-22,35.41083526611328,35.49942760504056,35.10076563722159,35.32923668474828,186581600
2017-09-25,35.098453521728516,35.396865854855974,34.774396211971876,34.967898570654704,177549200
2017-09-26,35.702266693115234,35.88411157067662,35.364221910846254,35.385203191175236,146640000
2017-09-27,35.956390380859375,36.070627749004665,35.79552674969661,35.85614409323959,102016800
2017-09-28,35.73490905761719,35.968043904578344,35.599690419497065,35.87712145655771,88022000
2017-09-29,35.93073272705078,35.933066351659704,35.43648811018328,35.71858277155957,105199200
2017-10-02,35.858463287353516,36.007669418176675,35.604347207215675,35.9633732366682,74795200
2017-10-03,36.01466369628906,36.15687606969623,35.881778707204724,35.90509005330215,64921200
2017-10-04,35.78154373168945,35.870136132726195,35.543748693153404,35.81651610137273,80655200
2017-10-05,36.22682571411133,36.238483168569914,35.91442585581295,35.94473096857849,85135200
2017-10-06,36.20584487915039,36.250141072228516,36.03332380015023,36.12890994759717,69630400
2017-10-09,36.331729888916016,36.539219738671264,36.25013483544445,36.3247361288286,65051600
2017-10-10,36.34572982788086,36.83531454541433,36.15922475201697,36.38303226599616,62468000
2017-10-11,36.49726104736328,36.59750732414715,36.31075245809779,36.362042409079685,67622400
2017-10-12,36.36903762817383,36.68843124334951,36.306090220834726,36.45063625092287,64500400
2017-10-13,36.59983825683594,36.66744579232641,36.46461962849979,36.539220924304615,65576800
2017-10-16,37.27359390258789,37.30156894094005,36.75370072417806,36.81198442564828,96486000
2017-10-17,37.41114807128906,37.50440058437659,37.12205958894918,37.25028446246104,75989200
2017-10-18,37.24563217163086,37.467113183387724,37.20833328939072,37.39950206694938,65496800
2017-10-19,36.36436462402344,36.620814323552636,36.140557211120395,36.54387941369388,170336800
2017-10-20,36.42731857299805,36.77702083129883,36.359711034962906,36.511247257284445,95896400
2017-10-23,36.408668518066406,36.76303448048517,36.25246859793545,36.576525891982904,87937200
2017-10-24,36.625484466552734,36.70008576487536,36.415660977975,36.43664225962618,71028800
2017-10-25,36.46461868286133,36.730392239980006,36.19884512574264,36.58118609488452,84828400
2017-10-26,36.69776153564453,36.79567775628352,36.550885426008115,36.655795408310176,68002000
